Delta_z_over_J1,Mz_AC
0.00,0.000
0.25,0.045
0.50,0.092
0.75,0.131
1.00,0.167
1.25,0.199
1.50,0.226
1.75,0.250
2.00,0.271
2.25,0.291
2.50,0.314
2.75,0.343
3.00,0.372
3.25,0.401
3.50,0.430
3.75,0.459
4.00,0.489
4.25,0.534
4.50,0.579
4.75,0.624
5.00,0.659
5.25,0.697
5.50,0.734
5.75,0.771
6.00,0.805
6.25,0.834
6.50,0.858
6.75,0.880
7.00,0.906
7.25,0.921
7.50,0.940
7.75,0.952
8.00,0.959
8.25,0.966
8.50,0.972
8.75,0.977
9.00,0.981
9.25,0.982
9.50,0.987
9.75,0.988
10.00,1.000
